,Paragraph Text,Binary Emotion Class/Score,Ekman Emotion Class
126,"""It's the full Body-Bind,"" said Hermione miserably. ""Oh, Neville, I'm so sorry."" ","{'labels': ['negative'], 'scores': [0.998949]}","{'labels': ['sadness'], 'scores': [0.9964013]}"
127,"""We had to, Neville, no time to explain,"" said Harry. ","{'labels': ['neutral'], 'scores': [0.99941874]}","{'labels': ['neutral'], 'scores': [0.9995005]}"
128,"""You'll understand later, Neville,"" said Ron as they stepped over him and pulled on the invisibility cloak. ","{'labels': ['neutral'], 'scores': [0.99951565]}","{'labels': ['neutral'], 'scores': [0.99901974]}"
129,"But leaving Neville lying motionless on the floor didn't feel like a very good omen. In their nervous state, every statue's shadow looked like Filch, every distant breath of wind sounded like Peeves swooping down on them. At the foot of the first set of stairs, they spotted Mrs. Norris skulking near the top. ","{'labels': ['neutral'], 'scores': [0.99943405]}","{'labels': ['fear', 'neutral'], 'scores': [0.8776396, 0.8925077]}"
130,"""Oh, let's kick her, just this once,"" Ron whispered in Harry's ear, but Harry shook his head. As they climbed carefully around her, Mrs. Norris turned her lamplike eyes on them, but didn't do anything. ","{'labels': ['neutral'], 'scores': [0.9992101]}","{'labels': ['neutral'], 'scores': [0.9994122]}"
131,"They didn't meet anyone else until they reached the staircase up to the third floor. Peeves was bobbing halfway up, loosening the carpet so that people would trip. ","{'labels': ['neutral'], 'scores': [0.9984503]}","{'labels': ['neutral'], 'scores': [0.9993537]}"
132,"""Who's there?"" he said suddenly as they climbed toward him. He narrowed his wicked black eyes. ""Know you're there, even if I can't see you. Are you ghoulie or ghostie or wee student beastie?"" ","{'labels': ['ambiguous'], 'scores': [0.9972868]}","{'labels': ['surprise'], 'scores': [0.99676216]}"
133,"He rose up in the air and floated there, squinting at them. ","{'labels': ['neutral'], 'scores': [0.9987716]}","{'labels': ['neutral'], 'scores': [0.99919766]}"
134,"""Should call Filch, I should, if something's a-creeping around unseen."" ","{'labels': ['neutral'], 'scores': [0.999366]}","{'labels': ['neutral'], 'scores': [0.9993456]}"
135,Harry had a sudden idea. ,"{'labels': ['ambiguous', 'neutral'], 'scores': [0.85227865, 0.9826797]}","{'labels': ['neutral', 'surprise'], 'scores': [0.3745336, 0.99325037]}"
136,"""Peeves,"" he said, in a hoarse whisper, ""the Bloody Baron has his own reasons for being invisible."" ","{'labels': ['negative', 'neutral'], 'scores': [0.99337304, 0.98735875]}","{'labels': ['anger', 'neutral'], 'scores': [0.8046496, 0.98320967]}"
137,Peeves almost fell out of the air in shock. He caught himself in time and hovered about a foot off the stairs. ,"{'labels': ['ambiguous', 'neutral'], 'scores': [0.9888904, 0.4552802]}","{'labels': ['surprise'], 'scores': [0.99627775]}"
138,"""So sorry, your bloodiness, Mr. Baron, Sir,"" he said greasily. ""My mistake, my mistake -- I didn't see you -- of course I didn't, you're invisible -- forgive old Peevsie his little joke, sir."" ","{'labels': ['negative'], 'scores': [0.99478227]}","{'labels': ['sadness'], 'scores': [0.9964561]}"
139,"""I have business here, Peeves,"" croaked Harry. ""Stay away from this place tonight."" ","{'labels': ['negative', 'neutral'], 'scores': [0.9864748, 0.9937598]}","{'labels': ['neutral'], 'scores': [0.99626935]}"
140,"""I will, sir, I most certainly will,"" said Peeves, rising up in the air again. ""Hope your business goes well, Baron, I'll not bother you."" ","{'labels': ['positive'], 'scores': [0.998346]}","{'labels': ['joy'], 'scores': [0.99464697]}"
141,And he scooted off. ,"{'labels': ['neutral'], 'scores': [0.9990656]}","{'labels': ['neutral'], 'scores': [0.9995086]}"
142,"""Brilliant, Harry!"" whispered Ron. ","{'labels': ['positive'], 'scores': [0.99913186]}","{'labels': ['joy'], 'scores': [0.9984237]}"
143,"A few seconds later, they were there, outside the third-floor corridor -- and the door was already ajar. ","{'labels': ['neutral'], 'scores': [0.9990017]}","{'labels': ['neutral'], 'scores': [0.999212]}"
144,"""Well, there you are,"" Harry said quietly, ""Snape's already got past Fluffy."" Seeing the open door somehow seemed to impress upon all three of them what was facing them. Underneath the cloak, Harry turned to the other two. ","{'labels': ['neutral'], 'scores': [0.99947447]}","{'labels': ['neutral'], 'scores': [0.9994948]}"
145,"""If you want to go back, I won't blame you,"" he said. ""You can take the cloak, I won't need it now."" ","{'labels': ['neutral'], 'scores': [0.99909616]}","{'labels': ['neutral'], 'scores': [0.9994537]}"
146,"""Don't be stupid,"" said Ron. ","{'labels': ['neutral'], 'scores': [0.95965606]}","{'labels': ['neutral'], 'scores': [0.9894047]}"
147,"""We're coming,"" said Hermione. ","{'labels': ['neutral'], 'scores': [0.9996087]}","{'labels': ['neutral'], 'scores': [0.99927145]}"
148,Harry pushed the door open. ,"{'labels': ['neutral'], 'scores': [0.99859124]}","{'labels': ['neutral'], 'scores': [0.9991372]}"
149,"As the door creaked, low, rumbling growls met their ears. All three of the dog's noses sniffed madly in their direction, even though it couldn't see them. ","{'labels': ['neutral'], 'scores': [0.99883884]}","{'labels': ['neutral'], 'scores': [0.99621576]}"
150,"""What's that at its feet?"" Hermione whispered. ","{'labels': ['neutral'], 'scores': [0.9990408]}","{'labels': ['neutral'], 'scores': [0.9978452]}"
151,"""Looks like a harp,"" said Ron. ""Snape must have left it there."" ","{'labels': ['neutral'], 'scores': [0.9993655]}","{'labels': ['neutral'], 'scores': [0.99952674]}"
152,"""It must wake up the moment you stop playing,"" said Harry. ""Well, here goes..."" ","{'labels': ['neutral'], 'scores': [0.99959165]}","{'labels': ['neutral'], 'scores': [0.9992749]}"
153,"He put Hagrid's flute to his lips and blew. It wasn't really a tune, but from the first note the beast's eyes began to droop. Harry hardly drew breath. Slowly, the dog's growls ceased -- it tottered on its paws and fell to its knees, then it slumped to the ground, fast asleep. ","{'labels': ['neutral'], 'scores': [0.99952745]}","{'labels': ['neutral'], 'scores': [0.998485]}"
154,"""Keep playing,"" Ron warned Harry as they slipped out of the cloak and crept toward the trapdoor. They could feel the dog's hot, smelly breath as they approached the giant heads. ""I think we'll be able to pull the door open,"" said Ron, peering over the dog's back. ""Want to go first, Hermione?"" ","{'labels': ['neutral'], 'scores': [0.9996829]}","{'labels': ['neutral'], 'scores': [0.99961406]}"
155,"""No, I don't!"" ","{'labels': ['negative'], 'scores': [0.9988055]}","{'labels': ['anger'], 'scores': [0.9957587]}"
156,"""All right."" Ron gritted his teeth and stepped carefully over the dog's legs. He bent and pulled the ring of the trapdoor, which swung up and open. ","{'labels': ['neutral'], 'scores': [0.9995009]}","{'labels': ['neutral'], 'scores': [0.9995403]}"
157,"""What can you see?"" Hermione said anxiously. ","{'labels': ['neutral'], 'scores': [0.92923844]}","{'labels': ['fear', 'neutral'], 'scores': [0.3579388, 0.7933034]}"
158,"""Nothing -- just black -- there's no way of climbing down, we'll just have to drop."" ","{'labels': ['neutral'], 'scores': [0.99927324]}","{'labels': ['neutral'], 'scores': [0.99959177]}"
159,"Harry, who was still playing the flute, waved at Ron to get his attention and pointed at himself. ","{'labels': ['neutral'], 'scores': [0.9995454]}","{'labels': ['neutral'], 'scores': [0.99948055]}"
160,"""You want to go first? Are you sure?"" said Ron. ""I don't know how deep this thing goes. Give the flute to Hermione so she can keep him asleep."" ","{'labels': ['neutral'], 'scores': [0.9984503]}","{'labels': ['neutral'], 'scores': [0.9987772]}"
161,"Harry handed the flute over. In the few seconds' silence, the dog growled and twitched, but the moment Hermione began to play, it fell back into its deep sleep. Harry climbed over it and looked down through the trapdoor. There was no sign of the bottom. ","{'labels': ['neutral'], 'scores': [0.9992675]}","{'labels': ['neutral'], 'scores': [0.9991872]}"
162,"He lowered himself through the hole until he was hanging on by his fingertips. Then he looked up at Ron and said, ""If anything happens to me, don't follow. Go straight to the owlery and send Hedwig to Dumbledore, right?"" ","{'labels': ['neutral'], 'scores': [0.9996191]}","{'labels': ['neutral'], 'scores': [0.99945694]}"
163,"""Right,"" said Ron. ","{'labels': ['neutral', 'positive'], 'scores': [0.460294, 0.99354666]}","{'labels': ['joy', 'neutral'], 'scores': [0.9357516, 0.94504917]}"
164,"""See you in a minute, I hope..."" ","{'labels': ['positive'], 'scores': [0.99860686]}","{'labels': ['joy'], 'scores': [0.99845433]}"
165,"And Harry let go. Cold, damp air rushed past him as he fell down, down, down and -- ","{'labels': ['neutral'], 'scores': [0.9988913]}","{'labels': ['neutral'], 'scores': [0.9994392]}"
166,"FLUMP. With a funny, muffled sort of thump he landed on something soft. He sat up and felt around, his eyes not used to the gloom. It felt as though he was sitting on some sort of plant. ","{'labels': ['neutral'], 'scores': [0.7942567]}","{'labels': ['neutral'], 'scores': [0.98803014]}"
167,"""It's okay!"" he called up to the light the size of a postage stamp, which was the open trapdoor, ""it's a soft landing, you can jump!"" ","{'labels': ['neutral'], 'scores': [0.99972993]}","{'labels': ['neutral'], 'scores': [0.9991215]}"
168,"Ron followed right away. He landed, sprawled next to Harry. ","{'labels': ['neutral'], 'scores': [0.9996057]}","{'labels': ['neutral'], 'scores': [0.9991296]}"
169,"""What's this stuff?"" were his first words. ","{'labels': ['neutral'], 'scores': [0.9947673]}","{'labels': ['neutral'], 'scores': [0.99861705]}"
170,"""Dunno, some sort of plant thing. I suppose it's here to break the fall. Come on, Hermione!"" ","{'labels': ['neutral'], 'scores': [0.9993782]}","{'labels': ['neutral'], 'scores': [0.9994974]}"
171,"The distant music stopped. There was a loud bark from the dog, but Hermione had already jumped. She landed on Harry's other side. ","{'labels': ['neutral'], 'scores': [0.99930656]}","{'labels': ['neutral'], 'scores': [0.99916804]}"
172,"""We must be miles under the school,"" she said. ","{'labels': ['neutral'], 'scores': [0.9995546]}","{'labels': ['neutral'], 'scores': [0.99942327]}"
173,"""Lucky this plant thing's here, really,"" said Ron. ","{'labels': ['positive'], 'scores': [0.99926704]}","{'labels': ['joy', 'neutral'], 'scores': [0.99115014, 0.5387307]}"
174,"""Lucky!"" shrieked Hermione. ""Look at you both!"" ","{'labels': ['positive'], 'scores': [0.99683714]}","{'labels': ['joy', 'neutral'], 'scores': [0.76732993, 0.7692085]}"
175,"She leapt up and struggled toward a damp wall. She had to struggle because the moment she had landed, the plant had started to twist snakelike tendrils around her ankles. As for Harry and Ron, their legs had already been bound tightly in long creepers without their noticing. ","{'labels': ['neutral'], 'scores': [0.9984718]}","{'labels': ['neutral'], 'scores': [0.99885213]}"
176,"Hermione had managed to free herself before the plant got a firm grip on her. Now she watched in horror as the two boys fought to pull the plant off them, but the more they strained against it, the tighter and faster the plant wound around them. ","{'labels': ['negative'], 'scores': [0.9962942]}","{'labels': ['fear'], 'scores': [0.963051]}"
177,"""Stop moving!"" Hermione ordered them. ""I know what this is -- it's Devil's Snare!"" ","{'labels': ['neutral'], 'scores': [0.99951684]}","{'labels': ['neutral'], 'scores': [0.99914956]}"
178,"""Oh, I'm so glad we know what it's called, that's a great help,"" snarled Ron, leaning back, trying to stop the plant from curling around his neck. ""Shut up, I'm trying to remember how to kill it!"" said Hermione. ","{'labels': ['positive'], 'scores': [0.99960834]}","{'labels': ['joy'], 'scores': [0.9956921]}"
179,"""Well, hurry up, I can't breathe!"" Harry gasped, wrestling with it as it curled around his chest. ","{'labels': ['negative', 'neutral'], 'scores': [0.95185405, 0.95078987]}","{'labels': ['neutral'], 'scores': [0.99417275]}"
180,"""Devil's Snare, Devil's Snare... what did Professor Sprout say? -- it likes the dark and the damp."" ","{'labels': ['neutral'], 'scores': [0.99943465]}","{'labels': ['neutral'], 'scores': [0.9975561]}"
181,"""So light a fire!"" Harry choked. ","{'labels': ['negative'], 'scores': [0.7706608]}","{'labels': ['neutral'], 'scores': [0.55846685]}"
182,"""Yes -- of course -- but there's no wood!"" Hermione cried, wringing her hands. ","{'labels': ['neutral'], 'scores': [0.99894243]}","{'labels': ['neutral'], 'scores': [0.9961287]}"
183,"""HAVE YOU GONE MAD?"" Ron bellowed. ""ARE YOU A WITCH OR NOT?"" ","{'labels': ['ambiguous'], 'scores': [0.8476308]}","{'labels': ['neutral', 'surprise'], 'scores': [0.9544001, 0.3253549]}"
184,"""Oh, right!"" said Hermione, and she whipped out her wand, waved it, muttered something, and sent a jet of the same bluebell flames she had used on Snape at the plant. In a matter of seconds, the two boys felt it loosening its grip as it cringed away from the light and warmth. Wriggling and flailing, it unraveled itself from their bodies, and they were able to pull free. ","{'labels': ['neutral'], 'scores': [0.9994727]}","{'labels': ['neutral'], 'scores': [0.9991794]}"
185,"""Lucky you pay attention in Herbology, Hermione,"" said Harry as he joined her by the wall, wiping sweat off his face. ","{'labels': ['positive'], 'scores': [0.9963773]}","{'labels': ['joy', 'neutral'], 'scores': [0.98553616, 0.6228648]}"
186,"""Yeah,"" said Ron, ""and lucky Harry doesn't lose his head in a crisis -- 'there's no wood,' honestly."" ","{'labels': ['neutral', 'positive'], 'scores': [0.74922544, 0.99442446]}","{'labels': ['joy', 'neutral'], 'scores': [0.9383222, 0.9788888]}"
187,"""This way,"" said Harry, pointing down a stone passageway, which was the only way forward. ","{'labels': ['neutral'], 'scores': [0.99953306]}","{'labels': ['neutral'], 'scores': [0.9992576]}"
188,"All they could hear apart from their footsteps was the gentle drip of water trickling down the walls. The passageway sloped downward, and Harry was reminded of Gringotts. With an unpleasant jolt of the heart, he remembered the dragons said to be guarding vaults in the wizards' bank. If they met a dragon, a fully-grown dragon -- Norbert had been bad enough... ","{'labels': ['negative', 'neutral'], 'scores': [0.9938419, 0.9295031]}","{'labels': ['neutral'], 'scores': [0.99771595]}"
189,"""Can you hear something?"" Ron whispered. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.62436104, 0.9865849]}","{'labels': ['neutral'], 'scores': [0.99818003]}"
190,Harry listened. A soft rustling and clinking seemed to be coming from up ahead. ,"{'labels': ['neutral'], 'scores': [0.99900705]}","{'labels': ['neutral'], 'scores': [0.9602063]}"
191,"""Do you think it's a ghost?"" ","{'labels': ['ambiguous'], 'scores': [0.9978453]}","{'labels': ['surprise'], 'scores': [0.99792284]}"
192,"""I don't know... sounds like wings to me."" ","{'labels': ['neutral'], 'scores': [0.8049886]}","{'labels': ['surprise'], 'scores': [0.99695045]}"
193,"""There's light ahead -- I can see something moving."" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.6994779, 0.9883986]}","{'labels': ['neutral'], 'scores': [0.9987871]}"
194,"They reached the end of the passageway and saw before them a brilliantly lit chamber, its ceiling arching high above them. It was full of small, jewel-bright birds, fluttering and tumbling all around the room. On the opposite side of the chamber was a heavy wooden door. ","{'labels': ['neutral'], 'scores': [0.9980052]}","{'labels': ['neutral'], 'scores': [0.993541]}"
195,"""Do you think they'll attack us if we cross the room?"" said Ron. ","{'labels': ['ambiguous'], 'scores': [0.9807154]}","{'labels': ['neutral', 'surprise'], 'scores': [0.8556757, 0.95131755]}"
196,"""Probably,"" said Harry. ""They don't look very vicious, but I suppose if they all swooped down at once... well, there's no other choice... I'll run."" ","{'labels': ['neutral'], 'scores': [0.99615854]}","{'labels': ['joy', 'neutral'], 'scores': [0.8596422, 0.9912445]}"
197,"He took a deep breath, covered his face with his arms, and sprinted across the room. He expected to feel sharp beaks and claws tearing at him any second, but nothing happened. He reached the door untouched. He pulled the handle, but it was locked. ","{'labels': ['neutral'], 'scores': [0.9649613]}","{'labels': ['neutral'], 'scores': [0.989583]}"
198,"The other two followed him. They tugged and heaved at the door, but it wouldn't budge, not even when Hermione tried her Alohomora charm. ","{'labels': ['neutral'], 'scores': [0.9994234]}","{'labels': ['neutral'], 'scores': [0.99933416]}"
199,"""Now what?"" said Ron. ","{'labels': ['neutral'], 'scores': [0.99901426]}","{'labels': ['neutral'], 'scores': [0.99923515]}"
200,"""These birds... they can't be here just for decoration,"" said Hermione. ","{'labels': ['neutral'], 'scores': [0.9987419]}","{'labels': ['neutral'], 'scores': [0.9968058]}"
201,"They watched the birds soaring overhead, glittering --glittering? ","{'labels': ['neutral'], 'scores': [0.9990243]}","{'labels': ['neutral', 'surprise'], 'scores': [0.57614326, 0.9899957]}"
202,"""They're not birds!"" Harry said suddenly. ""They're keys! Winged keys -- look carefully. So that must mean..."" he looked around the chamber while the other two squinted up at the flock of keys. ""... yes -- look! Broomsticks! We've got to catch the key to the door!"" ","{'labels': ['neutral'], 'scores': [0.9983059]}","{'labels': ['neutral'], 'scores': [0.99951184]}"
203,"""But there are hundreds of them!"" ","{'labels': ['neutral'], 'scores': [0.9988097]}","{'labels': ['neutral'], 'scores': [0.9991027]}"
204,Ron examined the lock on the door. ,"{'labels': ['neutral'], 'scores': [0.99926454]}","{'labels': ['neutral'], 'scores': [0.99947804]}"
205,"""We're looking for a big, old-fashioned one -- probably silver, like the handle."" ","{'labels': ['neutral'], 'scores': [0.9981237]}","{'labels': ['neutral'], 'scores': [0.99901676]}"
206,"They each seized a broomstick and kicked off into the air, soaring into the midst of the cloud of keys. They grabbed and snatched, but the bewitched keys darted and dived so quickly it was almost impossible to catch one. ","{'labels': ['neutral'], 'scores': [0.99888223]}","{'labels': ['neutral'], 'scores': [0.999595]}"
207,"Not for nothing, though, was Harry the youngest Seeker in a century. He had a knack for spotting things other people didn't. After a minute's weaving about through the whirl of rainbow feathers, he noticed a large silver key that had a bent wing, as if it had already been caught and stuffed roughly into the keyhole. ","{'labels': ['neutral'], 'scores': [0.9920695]}","{'labels': ['joy', 'neutral'], 'scores': [0.37723583, 0.95238286]}"
208,"""That one!"" he called to the others. ""That big one -- there -- no, there -- with bright blue wings -- the feathers are all crumpled on one side."" ","{'labels': ['neutral'], 'scores': [0.9985715]}","{'labels': ['neutral'], 'scores': [0.9994531]}"
209,"Ron went speeding in the direction that Harry was pointing, crashed into the ceiling, and nearly fell off his broom. ","{'labels': ['negative'], 'scores': [0.9962508]}","{'labels': ['sadness'], 'scores': [0.41322017]}"
210,"""We've got to close in on it!"" Harry called, not taking his eyes off the key with the damaged wing. ""Ron, you come at it from above -- Hermione, stay below and stop it from going down and I'll try and catch it. Right, NOW!"" ","{'labels': ['neutral'], 'scores': [0.9997701]}","{'labels': ['neutral'], 'scores': [0.9993691]}"
211,"Ron dived, Hermione rocketed upward, the key dodged them both, and Harry streaked after it; it sped toward the wall, Harry leaned forward and with a nasty, crunching noise, pinned it against the stone with one hand. Ron and Hermione's cheers echoed around the high chamber. ","{'labels': ['negative', 'neutral'], 'scores': [0.8890502, 0.9750354]}","{'labels': ['neutral'], 'scores': [0.99834466]}"
212,"They landed quickly, and Harry ran to the door, the key struggling in his hand. He rammed it into the lock and turned - it worked. The moment the lock had clicked open, the key took flight again, looking very battered now that it had been caught twice. ","{'labels': ['neutral'], 'scores': [0.913325]}","{'labels': ['neutral'], 'scores': [0.9992893]}"
213,"""Ready?"" Harry asked the other two, his hand on the door handle. They nodded. He pulled the door open. ","{'labels': ['neutral'], 'scores': [0.9974686]}","{'labels': ['neutral'], 'scores': [0.99807835]}"
214,"The next chamber was so dark they couldn't see anything at all. But as they stepped into it, light suddenly flooded the room to reveal an astonishing sight. ","{'labels': ['ambiguous'], 'scores': [0.999471]}","{'labels': ['surprise'], 'scores': [0.9969984]}"
215,"They were standing on the edge of a huge chessboard, behind the black chessmen, which were all taller than they were and carved from what looked like black stone. Facing them, way across the chamber, were the white pieces. Harry, Ron and Hermione shivered slightly - the towering white chessmen had no faces. ","{'labels': ['neutral'], 'scores': [0.9992042]}","{'labels': ['neutral'], 'scores': [0.99934417]}"
216,"""Now what do we do?"" Harry whispered. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.41659084, 0.98865694]}","{'labels': ['neutral'], 'scores': [0.99856406]}"
217,"""It's obvious, isn't it?"" said Ron. ""We've got to play our way across the room."" ","{'labels': ['neutral'], 'scores': [0.99631727]}","{'labels': ['neutral'], 'scores': [0.99708134]}"
218,Behind the white pieces they could see another door. ,"{'labels': ['neutral'], 'scores': [0.9985057]}","{'labels': ['neutral'], 'scores': [0.9995135]}"
219,"""How?"" said Hermione nervously. ","{'labels': ['neutral'], 'scores': [0.9989962]}","{'labels': ['neutral'], 'scores': [0.9844074]}"
220,"""I think,"" said Ron, ""we're going to have to be chessmen."" ","{'labels': ['neutral'], 'scores': [0.9987858]}","{'labels': ['neutral'], 'scores': [0.9976422]}"
221,"He walked up to a black knight and put his hand out to touch the knight's horse. At once, the stone sprang to life. The horse pawed the ground and the knight turned his helmeted head to look down at Ron. ","{'labels': ['neutral'], 'scores': [0.9989372]}","{'labels': ['neutral'], 'scores': [0.9994005]}"
222,"""Do we -- er -- have to join you to get across?"" The black knight nodded. Ron turned to the other two. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.9075254, 0.9017824]}","{'labels': ['neutral'], 'scores': [0.9991437]}"
223,"""This needs thinking about..."" he said. ""I suppose we've got to take the place of three of the black pieces..."" ","{'labels': ['neutral'], 'scores': [0.9994072]}","{'labels': ['neutral'], 'scores': [0.9994838]}"
224,"Harry and Hermione stayed quiet, watching Ron think. Finally he said, ""Now, don't be offended or anything, but neither of you are that good at chess --"" ","{'labels': ['neutral'], 'scores': [0.9995359]}","{'labels': ['neutral'], 'scores': [0.9991364]}"
225,"""We're not offended,"" said Harry quickly. ""Just tell us what to do."" ","{'labels': ['neutral'], 'scores': [0.9952383]}","{'labels': ['neutral'], 'scores': [0.9991217]}"
226,"""Well, Harry, you take the place of that bishop, and Hermione, you go there instead of that castle."" ","{'labels': ['neutral'], 'scores': [0.99937904]}","{'labels': ['neutral'], 'scores': [0.99954945]}"
227,"""What about you?"" ","{'labels': ['ambiguous'], 'scores': [0.99772674]}","{'labels': ['surprise'], 'scores': [0.997773]}"
228,"""I'm going to be a knight,"" said Ron. ","{'labels': ['neutral', 'positive'], 'scores': [0.9915139, 0.5000076]}","{'labels': ['neutral'], 'scores': [0.99621105]}"
229,"The chessmen seemed to have been listening, because at these words a knight, a bishop, and a castle turned their backs on the white pieces and walked off the board, leaving three empty squares that Harry, Ron, and Hermione took. ","{'labels': ['neutral'], 'scores': [0.9990557]}","{'labels': ['neutral'], 'scores': [0.9995455]}"
230,"""White always plays first in chess,"" said Ron, peering across the board. ""Yes... look..."" ","{'labels': ['neutral'], 'scores': [0.9989537]}","{'labels': ['neutral'], 'scores': [0.99913317]}"
231,A white pawn had moved forward two squares. ,"{'labels': ['neutral'], 'scores': [0.997894]}","{'labels': ['neutral'], 'scores': [0.999366]}"
232,Ron started to direct the black pieces. They moved silently wherever he sent them. Harry's knees were trembling. What if they lost? ,"{'labels': ['ambiguous', 'neutral'], 'scores': [0.95947486, 0.53475386]}","{'labels': ['neutral'], 'scores': [0.9956275]}"
233,"""Harry -- move diagonally four squares to the right."" ","{'labels': ['neutral'], 'scores': [0.9995859]}","{'labels': ['neutral'], 'scores': [0.9992816]}"
234,"Their first real shock came when their other knight was taken. The white queen smashed him to the floor and dragged him off the board, where he lay quite still, facedown. ","{'labels': ['ambiguous'], 'scores': [0.988157]}","{'labels': ['neutral', 'surprise'], 'scores': [0.89732313, 0.6348127]}"
235,"""Had to let that happen,"" said Ron, looking shaken. ""Leaves you free to take that bishop, Hermione, go on."" ","{'labels': ['neutral'], 'scores': [0.9992587]}","{'labels': ['neutral'], 'scores': [0.9991466]}"
236,"Every time one of their men was lost, the white pieces showed no mercy. Soon there was a huddle of limp black players slumped along the wall. Twice, Ron only just noticed in time that Harry and Hermione were in danger. He himself darted around the board, taking almost as many white pieces as they had lost black ones. ","{'labels': ['neutral'], 'scores': [0.9995154]}","{'labels': ['neutral'], 'scores': [0.99810445]}"
237,"""We're nearly there,"" he muttered suddenly. ""Let me think -- let me think..."" ","{'labels': ['neutral'], 'scores': [0.9883062]}","{'labels': ['neutral'], 'scores': [0.9993235]}"
238,The white queen turned her blank face toward him. ,"{'labels': ['neutral'], 'scores': [0.999097]}","{'labels': ['neutral'], 'scores': [0.9994709]}"
239,"""Yes..."" said Ron softly, ""It's the only way... I've got to be taken."" ","{'labels': ['neutral'], 'scores': [0.99917847]}","{'labels': ['neutral'], 'scores': [0.99915814]}"
240,"""NO!"" Harry and Hermione shouted. ","{'labels': ['negative', 'neutral'], 'scores': [0.3259681, 0.9986345]}","{'labels': ['neutral'], 'scores': [0.99215525]}"
241,"""That's chess!"" snapped Ron. ""You've got to make some sacrifices! I make my move and she'll take me -- that leaves you free to checkmate the king, Harry!"" ","{'labels': ['neutral'], 'scores': [0.9993936]}","{'labels': ['neutral'], 'scores': [0.9995431]}"
242,"""But --"" ","{'labels': ['neutral'], 'scores': [0.99891055]}","{'labels': ['neutral'], 'scores': [0.99922955]}"
243,"""Do you want to stop Snape or not?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.5011451, 0.9591964]}","{'labels': ['neutral', 'surprise'], 'scores': [0.9939545, 0.3777774]}"
244,"""Ron --"" ","{'labels': ['neutral'], 'scores': [0.9987991]}","{'labels': ['neutral'], 'scores': [0.9991868]}"
245,"""Look, if you don't hurry up, he'll already have the Stone!"" ","{'labels': ['neutral'], 'scores': [0.998992]}","{'labels': ['neutral'], 'scores': [0.9993806]}"
246,There was no alternative. ,"{'labels': ['neutral'], 'scores': [0.99735034]}","{'labels': ['neutral'], 'scores': [0.999278]}"
247,"""Ready?"" Ron called, his face pale but determined. ""Here I go -- now, don't hang around once you've won."" ","{'labels': ['neutral', 'positive'], 'scores': [0.78760725, 0.92288864]}","{'labels': ['neutral'], 'scores': [0.9983583]}"
248,"He stepped forward, and the white queen pounced. She struck Ron hard across the head with her stone arm, and he crashed to the floor -- Hermione screamed but stayed on her square -- the white queen dragged Ron to one side. He looked as if he'd been knocked out. ","{'labels': ['neutral'], 'scores': [0.9992955]}","{'labels': ['neutral'], 'scores': [0.9993734]}"
249,"Shaking, Harry moved three spaces to the left. ","{'labels': ['negative', 'neutral'], 'scores': [0.99166214, 0.75782615]}","{'labels': ['neutral'], 'scores': [0.9980108]}"
250,"The white king took off his crown and threw it at Harry's feet. They had won. The chessmen parted and bowed, leaving the door ahead clear. With one last desperate look back at Ron, Harry and Hermione charged through the door and up the next passageway. ","{'labels': ['neutral'], 'scores': [0.9948894]}","{'labels': ['neutral'], 'scores': [0.9993487]}"
251,"""What if he's --?"" ","{'labels': ['ambiguous'], 'scores': [0.9980564]}","{'labels': ['neutral', 'surprise'], 'scores': [0.70385706, 0.9443792]}"
252,"""He'll be all right,"" said Harry, trying to convince himself. ""What do you reckon's next?"" ","{'labels': ['positive'], 'scores': [0.9977584]}","{'labels': ['joy', 'surprise'], 'scores': [0.8727254, 0.93280387]}"
253,"""We've had Sprout's, that was the Devil's Snare; Flitwick must've put charms on the keys; McGonagall transfigured the chessmen to make them alive; that leaves Quirrell's spell, and Snape's."" ","{'labels': ['neutral'], 'scores': [0.9994832]}","{'labels': ['neutral'], 'scores': [0.9996057]}"
254,They had reached another door. ,"{'labels': ['neutral'], 'scores': [0.99643433]}","{'labels': ['neutral'], 'scores': [0.99914634]}"
255,"""All right?"" Harry whispered. ","{'labels': ['neutral'], 'scores': [0.9992384]}","{'labels': ['neutral'], 'scores': [0.9957968]}"
256,"""Go on."" ","{'labels': ['neutral'], 'scores': [0.99843174]}","{'labels': ['neutral'], 'scores': [0.998544]}"
257,Harry pushed it open. ,"{'labels': ['neutral'], 'scores': [0.99894303]}","{'labels': ['neutral'], 'scores': [0.99921346]}"
258,"A disgusting smell filled their nostrils, making both of them pull their robes up over their noses. Eyes watering, they saw, flat on the floor in front of them, a troll even larger than the one they had tackled, out cold with a bloody lump on its head. ","{'labels': ['negative'], 'scores': [0.9985531]}","{'labels': ['disgust'], 'scores': [0.9961202]}"
259,"""I'm glad we didn't have to fight that one,"" Harry whispered as they stepped carefully over one of its massive legs. ""Come on, I can't breathe."" ","{'labels': ['positive'], 'scores': [0.9989687]}","{'labels': ['joy'], 'scores': [0.9678916]}"
